source_id,topic,publisher,title,url,evidence_class,checked_on,applies_to,limitation
OS09-01,Guided tours,City of Amsterdam,Rules and exemptions for guided tours in the city centre,https://www.amsterdam.nl/en/business/rules-permit-tours/,OBSERVED_OFFICIAL,2026-09-04,"Centre groups conduct hours exemption fee lead time","Rules and fees are time-sensitive; confirm route boundary"
OS09-02,Land levy,City of Amsterdam,Rules for guided tours in Centrum,https://www.amsterdam.nl/stadsdelen/centrum/aanpak-binnenstad/regels-rondleidingen/,OBSERVED_OFFICIAL,2026-09-04,"Land VMR status and nuisance objective","Dutch-language page; recheck annually"
OS09-03,Online sales,RVO Business.gov.nl,Rules for online sales and purchases,https://business.gov.nl/regulations/long-distance-sales-and-purchases/,OBSERVED_OFFICIAL,2026-09-04,"Pre-contract information order confirmation privacy and accessibility","Legal implementation depends on entity and sales flow"
OS09-04,Cancellation,RVO Business.gov.nl,Cancellation period in case of a sale,https://business.gov.nl/regulations/cancellation-period-sale/,OBSERVED_OFFICIAL,2026-09-04,"Specific-date exception and online cancellation amendment","Obtain Dutch legal review for exact tour terms"
OS09-05,Accessibility,Netherlands Institute for Human Rights,Access with a disability,https://www.mensenrechten.nl/themas/rechten-van-mensen-met-een-beperking/toegang-met-een-beperking,OBSERVED_OFFICIAL,2026-09-04,"General accessibility and effective adjustments","Reasonableness depends on circumstances"
OS09-06,Digital accessibility,RVO Business.gov.nl,Rules for accessibility of products and services EAA,https://business.gov.nl/regulations/rules-for-accessibility-eaa/,OBSERVED_OFFICIAL,2026-09-04,"Covered e-commerce services and microenterprise threshold","Applicability requires entity-size and service assessment"
OS09-07,Worker safety,RVO Business.gov.nl,Working conditions for self-employed professionals,https://business.gov.nl/regulations/working-conditions-self-employed-professionals/,OBSERVED_OFFICIAL,2026-09-04,"Preventing danger and serious risk","Employment model not yet confirmed"
OS09-08,RI&E,RVO Business.gov.nl,Risk assessment and evaluation,https://business.gov.nl/regulations/risk-inventory-evaluation/,OBSERVED_OFFICIAL,2026-09-04,"Employer risk assessment duties","Conditional on staffing model"
OS09-09,Insurance,RVO Business.gov.nl,Arrange business insurance,https://business.gov.nl/running-your-business/insurance/arrange-business-insurance/,OBSERVED_OFFICIAL,2026-09-04,"Liability exposure and possible client requirements","Adequate cover is project policy not universal tour law"
OS09-10,Privacy,RVO Business.gov.nl,Protection of personal data GDPR,https://business.gov.nl/regulations/protection-personal-data/,OBSERVED_OFFICIAL,2026-09-04,"Lawful basis minimisation security transparency retention", "Special-category data needs additional safeguards"
OS09-11,Destination policy,City of Amsterdam,Tourism policy,https://www.amsterdam.nl/en/policy/tourism/,OBSERVED_OFFICIAL,2026-09-04,"Positive resident value nuisance reduction and visitor dispersal","Policy direction is not proof of product impact"
OS09-12,Visitor economy,City of Amsterdam,A valuable visitors economy,https://www.amsterdam.nl/en/policy/policy-city-centre-approach/valuable-visitors-economy/,OBSERVED_OFFICIAL,2026-09-04,"Resident liveability and destination value","Requires product-level metrics"
