name,type,category,stars,zone,note,access,source,confidence
Hilton Abu Dhabi Yas Island,Hotel,Hotel,,Yas Island,,Yas Island,locations.json,
W Abu Dhabi - Yas Island,Hotel,Hotel,,Yas Island,,Yas Island,locations.json,
Crowne Plaza Yas Island,Hotel,Hotel,,Yas Island,,Yas Plaza,locations.json,
Yas Island Rotana,Hotel,Hotel,,Yas Island,,Yas Plaza,locations.json,
Park Inn by Radisson Abu Dhabi Yas Island,Hotel,Hotel,,Yas Island,,Yas Plaza,locations.json,
Staybridge Suites Abu Dhabi Yas Island,Hotel,Hotel,,Yas Island,,Yas Plaza,locations.json,
Marriott Hotel Al Forsan Abu Dhabi,Hotel,Hotel,,Airport / Khalifa City,,Khalifa City,locations.json,
Premier Inn Abu Dhabi International Airport,Hotel,Hotel,,Airport / Khalifa City,,Airport,locations.json,
Al Raha Beach Hotel,Hotel,Hotel,,Airport / Al Raha,,Al Raha,locations.json,
The St. Regis Saadiyat Island Resort,Hotel,Hotel,,Saadiyat Island,,Saadiyat Island,locations.json,
Rixos Premium Saadiyat Island,Hotel,Hotel,,Saadiyat Island,,Saadiyat Island,locations.json,
Jumeirah Saadiyat Island Resort,Hotel,Hotel,,Saadiyat Island,,Saadiyat Island,locations.json,
Park Hyatt Abu Dhabi Hotel and Villas,Hotel,Hotel,,Saadiyat Island,,Saadiyat Island,locations.json,
Emirates Palace Mandarin Oriental,Hotel,Hotel,,Corniche / West Bay,,West Corniche,locations.json,
Conrad Abu Dhabi Etihad Towers,Hotel,Hotel,,Corniche / West Bay,,Etihad Towers,locations.json,
Bab Al Qasr Hotel,Hotel,Hotel,,Corniche / West Bay,,West Corniche,locations.json,
Radisson Blu Hotel & Resort Abu Dhabi Corniche,Hotel,Hotel,,Corniche / West Bay,,Corniche,locations.json,
Sheraton Abu Dhabi Hotel & Resort,Hotel,Hotel,,Corniche / Downtown,,Corniche,locations.json,
"The Ritz-Carlton Abu Dhabi, Grand Canal",Hotel,Hotel,,Grand Mosque / Canal,,Grand Canal,locations.json,
Shangri-La Qaryat Al Beri Abu Dhabi,Hotel,Hotel,,Grand Mosque / Canal,,Qaryat Al Beri,locations.json,
Traders Hotel Qaryat Al Beri Abu Dhabi,Hotel,Hotel,,Grand Mosque / Canal,,Qaryat Al Beri,locations.json,
Anantara Eastern Mangroves Abu Dhabi Hotel,Hotel,Hotel,,Eastern Mangroves,,Eastern Mangroves,locations.json,
Novotel Abu Dhabi Gate,Hotel,Hotel,,Grand Mosque / Maqta,,Abu Dhabi Gate,locations.json,
Royal Rose Hotel Abu Dhabi,Hotel,Hotel,,Downtown Abu Dhabi,,Downtown,locations.json,
Southern Sun Abu Dhabi,Hotel,Hotel,,Downtown Abu Dhabi,,Mina / Downtown,locations.json,
