job_statement,supporting_observations,interpretation
Understand Amsterdam quickly with a human who can answer questions,1,Observed customer-language proxy; requires primary validation
Learn city history without a dry lecture,1,Observed customer-language proxy; requires primary validation
Get engaging stories and enough substantive information,1,Observed customer-language proxy; requires primary validation
See enough of the city while still getting context,1,Observed customer-language proxy; requires primary validation
Get oriented early in the trip,1,Observed customer-language proxy; requires primary validation
Use a first-day tour to plan the rest of the stay,1,Observed customer-language proxy; requires primary validation
Explore efficiently without arrival friction,1,Observed customer-language proxy; requires primary validation
Learn through interaction rather than passive explanation,1,Observed customer-language proxy; requires primary validation
Discover places not obvious to independent visitors,1,Observed customer-language proxy; requires primary validation
Find less-obvious places efficiently,1,Observed customer-language proxy; requires primary validation
See enough without feeling rushed,1,Observed customer-language proxy; requires primary validation
Ask questions easily and improve the rest of the trip,1,Observed customer-language proxy; requires primary validation
Taste local food while understanding the place,1,Observed customer-language proxy; requires primary validation
Combine tasting with conversation and context,1,Observed customer-language proxy; requires primary validation
Receive food and expertise that match the advertised promise,1,Observed customer-language proxy; requires primary validation
Try local food in an intimate social setting,1,Observed customer-language proxy; requires primary validation
"Understand why the food matters, not only taste it",1,Observed customer-language proxy; requires primary validation
Reduce uncertainty around unfamiliar local foods,1,Observed customer-language proxy; requires primary validation
Explore a neighbourhood through low-stress tasting,1,Observed customer-language proxy; requires primary validation
Enjoy an intimate food tour with realistic physical expectations,1,Observed customer-language proxy; requires primary validation
Use food discovery to orient later dining choices,1,Observed customer-language proxy; requires primary validation
Participate without dietary needs becoming a burden,1,Observed customer-language proxy; requires primary validation
Feel the tasting volume justifies the price,1,Observed customer-language proxy; requires primary validation
Feel included even when joining alone or as a small party,1,Observed customer-language proxy; requires primary validation
See meaningful places with a knowledgeable local,1,Observed customer-language proxy; requires primary validation
"Understand local life, not only monuments",1,Observed customer-language proxy; requires primary validation
Get authentic discovery without losing promised itinerary clarity,1,Observed customer-language proxy; requires primary validation
Understand how Amsterdam works and feels today,1,Observed customer-language proxy; requires primary validation
Connect history with current city life,1,Observed customer-language proxy; requires primary validation
Learn actively rather than passively,1,Observed customer-language proxy; requires primary validation
Get practical context in an easy format,1,Observed customer-language proxy; requires primary validation
Receive the itinerary that was promised,1,Observed customer-language proxy; requires primary validation
"Combine food, local history and comfortable sightseeing",1,Observed customer-language proxy; requires primary validation
Have human guidance around unfamiliar food and streets,1,Observed customer-language proxy; requires primary validation
Learn culture through food choices,1,Observed customer-language proxy; requires primary validation
Receive enough experiential value for a premium bundle,1,Observed customer-language proxy; requires primary validation
Use tasting as a gateway to the rest of the stay,1,Observed customer-language proxy; requires primary validation
Know physical effort before booking,1,Observed customer-language proxy; requires primary validation
Gain local recommendations beyond scheduled stops,1,Observed customer-language proxy; requires primary validation
Feel socially comfortable in a shared small-group experience,1,Observed customer-language proxy; requires primary validation
