month,planning_band,daylight_hours_estimate,weather_operability_score,main_friction,planning_use,evidence_class,source,source_url,review_required
January,Lower,8.0,2,Short daylight cold and wet exposure,Selective winter testing,DERIVED_PLANNING_CLASS,KNMI and Rijksoverheid,https://www.knmi.nl/klimaat-viewer/grafieken-tabellen/klimaattabellen-per-station/schiphol,Live forecast
February,Lower,10.0,2,Cold and wet exposure,Controlled economics test,DERIVED_PLANNING_CLASS,KNMI and Rijksoverheid,https://www.knmi.nl/klimaat-viewer/grafieken-tabellen/klimaattabellen-per-station/schiphol,Live forecast
March,Shoulder,12.0,3,Variable weather,Normal route with controls,DERIVED_PLANNING_CLASS,KNMI and Rijksoverheid,https://www.knmi.nl/klimaat-viewer/grafieken-tabellen/klimaattabellen-per-station/schiphol,Live forecast
April,Strong,14.0,4,Variable weather and event pressure,Spring operating window,DERIVED_PLANNING_CLASS,KNMI and Rijksoverheid,https://www.knmi.nl/klimaat-viewer/grafieken-tabellen/klimaattabellen-per-station/schiphol,Live forecast and event check
May,Strong,15.5,4,Growing crowd pressure,Booking-led scale test,DERIVED_PLANNING_CLASS,KNMI and Rijksoverheid,https://www.knmi.nl/klimaat-viewer/grafieken-tabellen/klimaattabellen-per-station/schiphol,Live forecast
June,Strong,16.5,4,Heat and thunderstorm exposure,Long-day operation,DERIVED_PLANNING_CLASS,KNMI and Rijksoverheid,https://www.knmi.nl/klimaat-viewer/grafieken-tabellen/klimaattabellen-per-station/schiphol,Live forecast
July,High context,16.0,3,Peak crowds and weather exposure,Controlled timing and route,DERIVED_PLANNING_CLASS,KNMI and Rijksoverheid,https://www.knmi.nl/klimaat-viewer/grafieken-tabellen/klimaattabellen-per-station/schiphol,Live forecast and crowd check
August,High context,14.5,3,Wet climate normal and crowds,Forecast-led operation,DERIVED_PLANNING_CLASS,KNMI and Rijksoverheid,https://www.knmi.nl/klimaat-viewer/grafieken-tabellen/klimaattabellen-per-station/schiphol,Live forecast and crowd check
September,Strong,12.5,4,Shortening daylight,Normal pilot window,DERIVED_PLANNING_CLASS,KNMI and Rijksoverheid,https://www.knmi.nl/klimaat-viewer/grafieken-tabellen/klimaattabellen-per-station/schiphol,Live forecast
October,Shoulder,10.5,3,ADE and shorter daylight,Peak-crowd route control,DERIVED_PLANNING_CLASS,KNMI and Rijksoverheid,https://www.knmi.nl/klimaat-viewer/grafieken-tabellen-per-station/schiphol,Live forecast and event check
November,Lower,9.0,2,Darkness wet weather and event corridors,Earlier selective operation,DERIVED_PLANNING_CLASS,KNMI and Rijksoverheid,https://www.knmi.nl/klimaat-viewer/grafieken-tabellen-per-station/schiphol,Live forecast and attraction check
December,Lower,7.5,2,Short daylight wet weather and holidays,Midday selective operation,DERIVED_PLANNING_CLASS,KNMI and Rijksoverheid,https://www.knmi.nl/klimaat-viewer/grafieken-tabellen-per-station/schiphol,Live forecast and attraction check
