voc_id,opportunity_area,product_type,source,source_title,source_url,review_date,observation_type,coding_stage,review_paraphrase,theme_codes,sentiment,jtbd,pain_point,rating_or_metric,confidence
V001,Guided walking,Walking,Viator,Hello Amsterdam: Small-Group Introduction Walking Tour,https://www.viator.com/tours/Amsterdam/Introduction-Walking-Tour-Hello-Amsterdam-Small-group/d525-90720P6,2026-07,REVIEW_TEXT,MANUAL,Guide mixed useful city facts with normal conversation; visitor found it fun and distinctive,GUIDE_KNOWLEDGE;GROUP_INTERACTION;STORYTELLING_CONTEXT,Positive,Understand Amsterdam quickly with a human who can answer questions,,,Medium
V002,Guided walking,Walking,Viator,Hello Amsterdam: Small-Group Introduction Walking Tour,https://www.viator.com/tours/Amsterdam/Introduction-Walking-Tour-Hello-Amsterdam-Small-group/d525-90720P6,2026-06,REVIEW_TEXT,MANUAL,Guide explained city history in an engaging way rather than as a lecture,GUIDE_KNOWLEDGE;STORYTELLING_CONTEXT,Positive,Learn city history without a dry lecture,,,Medium
V003,Guided walking,Walking,Viator,Hello Amsterdam: Small-Group Introduction Walking Tour,https://www.viator.com/tours/Amsterdam/Introduction-Walking-Tour-Hello-Amsterdam-Small-group/d525-90720P6,2026-05,REVIEW_TEXT,MANUAL,Guide was entertaining but reviewer wanted more factual depth during the walk,DEPTH_OF_INFO;STORYTELLING_CONTEXT,Negative,Get engaging stories and enough substantive information,Too little factual depth,,Medium
V004,Guided walking,Walking,Viator,Hello Amsterdam: Small-Group Introduction Walking Tour,https://www.viator.com/tours/Amsterdam/Introduction-Walking-Tour-Hello-Amsterdam-Small-group/d525-90720P6,2026-05,REVIEW_TEXT,MANUAL,"Strong stories and knowledge, but reviewer felt the route did not cover enough of the city",ITINERARY_COVERAGE;GUIDE_KNOWLEDGE,Mixed,See enough of the city while still getting context,Coverage felt incomplete,,Medium
V005,Guided walking,Walking,Viator,Hello Amsterdam: Small-Group Introduction Walking Tour,https://www.viator.com/tours/Amsterdam/Introduction-Walking-Tour-Hello-Amsterdam-Small-group/d525-90720P6,2026-04,REVIEW_TEXT,MANUAL,Two-hour introduction helped visitor get an initial feel for Amsterdam,ORIENTATION_RECOMMENDATIONS;PACE_WALKING,Positive,Get oriented early in the trip,,,Medium
V006,Guided walking,Walking,Viator,Hello Amsterdam: Small-Group Introduction Walking Tour,https://www.viator.com/tours/Amsterdam/Introduction-Walking-Tour-Hello-Amsterdam-Small-group/d525-90720P6,2025-11,REVIEW_TEXT,MANUAL,Tour helped visitor get bearings and included useful suggestions for later places to see and eat,ORIENTATION_RECOMMENDATIONS;GUIDE_KNOWLEDGE,Positive,Use a first-day tour to plan the rest of the stay,,,Medium
V007,Guided walking,Walking,Viator,Hello Amsterdam: Small-Group Introduction Walking Tour,https://www.viator.com/tours/Amsterdam/Introduction-Walking-Tour-Hello-Amsterdam-Small-group/d525-90720P6,2025-08,REVIEW_TEXT,MANUAL,"Small group made movement efficient, but finding the guide at the meeting point was difficult",GROUP_INTERACTION;MEETING_POINT_CLARITY,Mixed,Explore efficiently without arrival friction,Guide identification unclear,,Medium
V008,Guided walking,Walking,Viator,Hello Amsterdam: Small-Group Introduction Walking Tour,https://www.viator.com/tours/Amsterdam/Introduction-Walking-Tour-Hello-Amsterdam-Small-group/d525-90720P6,2025-05,REVIEW_TEXT,MANUAL,Interactive games and storytelling were enjoyable; reviewer wished the experience lasted longer,STORYTELLING_CONTEXT;PACE_WALKING,Positive,Learn through interaction rather than passive explanation,,,Medium
V009,Guided walking,Walking,Viator,Small Group Walking Tour in Amsterdam with Friendly and Fun Guide,https://www.viator.com/tours/Amsterdam/Wonderful-Guided-Walks-in-Amsterdam/d525-425945P1,2026-04,REVIEW_TEXT,MANUAL,Guide connected Dutch history with unexpected neighbourhoods and involved the whole group,GUIDE_KNOWLEDGE;HIDDEN_LOCAL_DISCOVERY;GROUP_INTERACTION,Positive,Discover places not obvious to independent visitors,,,Medium
V010,Guided walking,Walking,Viator,Small Group Walking Tour in Amsterdam with Friendly and Fun Guide,https://www.viator.com/tours/Amsterdam/Wonderful-Guided-Walks-in-Amsterdam/d525-425945P1,2026-04,REVIEW_TEXT,MANUAL,Visitor valued seeing places they would not have found alone,HIDDEN_LOCAL_DISCOVERY,Positive,Find less-obvious places efficiently,,,Medium
V011,Guided walking,Walking,Viator,Small Group Walking Tour in Amsterdam with Friendly and Fun Guide,https://www.viator.com/tours/Amsterdam/Wonderful-Guided-Walks-in-Amsterdam/d525-425945P1,2026-03,REVIEW_TEXT,MANUAL,Tour covered a lot while maintaining a comfortable pace,ITINERARY_COVERAGE;PACE_WALKING,Positive,See enough without feeling rushed,,,Medium
V012,Guided walking,Walking,Viator,Small Group Walking Tour in Amsterdam with Friendly and Fun Guide,https://www.viator.com/tours/Amsterdam/Wonderful-Guided-Walks-in-Amsterdam/d525-425945P1,2026-03,REVIEW_TEXT,MANUAL,Small group made questions and movement easy; recommendations extended value beyond the tour,GROUP_INTERACTION;ORIENTATION_RECOMMENDATIONS,Positive,Ask questions easily and improve the rest of the trip,,,Medium
V013,Food + culture,Food,Viator,Jordaan Food Tour with Dutch Tastings in Amsterdam,https://www.viator.com/tours/Amsterdam/Amsterdam-Jordaan-District-Food-Walking-Tour/d525-6624FOOD,2026-07,REVIEW_TEXT,MANUAL,"Guide combined food, welcome and city knowledge; quantity was ample",FOOD_QUALITY_VARIETY;GUIDE_KNOWLEDGE;FOOD_QUANTITY_VALUE,Positive,Taste local food while understanding the place,,,Medium
V014,Food + culture,Food,Viator,Jordaan Food Tour with Dutch Tastings in Amsterdam,https://www.viator.com/tours/Amsterdam/Amsterdam-Jordaan-District-Food-Walking-Tour/d525-6624FOOD,2026-07,REVIEW_TEXT,MANUAL,"Reviewer valued good food, stories and discussion with a friendly guide",FOOD_QUALITY_VARIETY;STORYTELLING_CONTEXT;GUIDE_KNOWLEDGE,Positive,Combine tasting with conversation and context,,,Medium
V015,Food + culture,Food,Viator,Jordaan Food Tour with Dutch Tastings in Amsterdam,https://www.viator.com/tours/Amsterdam/Amsterdam-Jordaan-District-Food-Walking-Tour/d525-6624FOOD,2026-07,REVIEW_TEXT,MANUAL,Reviewer felt both food selection and guide knowledge underperformed the promise,FOOD_QUALITY_VARIETY;GUIDE_KNOWLEDGE,Negative,Receive food and expertise that match the advertised promise,Food selection and guide depth disappointed,,Medium
