risk_id,category,risk_statement,evidence_class,likelihood_1_5,impact_1_5,score,preventive_control,trigger,response,owner,status
R09-01,Regulatory,"A five-to-eight-person guided departure enters regulated Amsterdam Centre without the guide-specific exemption",OBSERVED_RULE,2,5,10,"Roster and route permit check before confirmation","Required exemption absent or expired","Do not operate regulated section; switch approved route or cancel",Operations Lead,OPEN_CONTROL
R09-02,Public space,"The group obstructs a bridge entrance cycle path or business frontage",SCENARIO,3,4,12,"Approved stopping map and guide conduct briefing","Stopping point unsafe crowded or obstructive","Move immediately; log and revise stop",Lead Guide,OPEN_CONTROL
R09-03,Accessibility,"A published accessibility promise cannot be delivered across the complete journey",SCENARIO,3,5,15,"Accompanied field audit and claim approval","Barrier invalidates promised adjustment","Contact guest; offer effective alternative refund or reschedule",Product Owner,BLOCKER
R09-04,Safety,"A guest is injured by traffic bicycles paving weather or crowd conditions",SCENARIO,2,5,10,"Dynamic route check briefing pace control and emergency procedure","Hazard or incident observed","Stop service protect guest contact emergency support and record incident",Lead Guide,OPEN_CONTROL
R09-05,Consumer,"Booking information omits a material limitation inclusion or cancellation term",OBSERVED_RULE,3,4,12,"Pre-publication consumer-information checklist","Mismatch found or complaint received","Correct page notify affected customers and provide remedy",Commercial Lead,OPEN_CONTROL
R09-06,Privacy,"Unnecessary health or accessibility details are collected retained or exposed",OBSERVED_RULE,2,5,10,"Data minimisation access control retention rule","Sensitive data requested or accessed without need","Restrict access delete excess data assess breach duty",Data Owner,OPEN_CONTROL
R09-07,Cultural integrity,"Sensitive history is sensationalised or residents are treated as scenery",HYPOTHESIS,2,5,10,"Source review guide script principles and correction process","Complaint factual error or dignity concern","Pause claim correct interpretation and brief guides",Content Lead,OPEN_CONTROL
R09-08,Destination,"Noise crowding or repeated stops create resident or business nuisance",HYPOTHESIS,3,4,12,"Eight-guest cap dispersed route and complaint log","Complaint or obstruction threshold reached","Switch stop reduce dwell and review route",Operations Lead,OPEN_CONTROL
R09-09,Supplier,"Guide lacks valid permit briefing competence or backup",SCENARIO,2,5,10,"Document verification training roster and backup guide","Missing evidence or guide unavailable","Block assignment and activate qualified backup",Operations Lead,BLOCKER
R09-10,Sustainability,"The product makes broad sustainable claims without measured evidence",SCENARIO,3,3,9,"Claim-to-metric register and human approval","Claim lacks defined measure and period","Remove or qualify claim; collect evidence",Product Owner,OPEN_CONTROL
R09-11,Weather,"Heat rain wind or ice makes the planned route unsafe",SCENARIO,3,4,12,"Same-day weather and surface check with route variants","Threshold or official warning reached","Switch shorten reschedule or cancel",Lead Guide,OPEN_CONTROL
R09-12,Construction,"Works or transit disruption removes a safe crossing stop or recovery option",OBSERVED_TIME_SENSITIVE,4,3,12,"Same-day municipal and route check","Closure diversion or inaccessible surface found","Activate approved disruption route",Operations Lead,OPEN_CONTROL
R09-13,Insurance,"Activity or territory is outside confirmed liability cover",ASSUMPTION,2,5,10,"Written insurer confirmation before paid pilot","Cover exclusion or unclear wording","Do not launch until adequate cover is confirmed",Business Owner,BLOCKER
R09-14,Commercial,"Responsible controls increase cost beyond the Article 08 contribution floor",HYPOTHESIS,3,4,12,"Rerun unit economics after verified permit insurance and guide costs","Expected contribution falls below guardrail","Revise price channel or product; do not dilute controls",Product Owner,OPEN_CONTROL
R09-15,Reputation,"A serious complaint is dismissed rather than investigated and closed",SCENARIO,2,5,10,"Complaint ownership severity rules and CAPA log","Safety accessibility dignity or resident complaint received","Acknowledge contain investigate correct and communicate",Service Quality Lead,OPEN_CONTROL
