experiment_id,source_item,question,test_design,primary_measure,minimum_evidence,owner,status,decision_boundary
E01,H01 context value,Does layered context solve the visitor job,Post-tour usefulness and three-layer recall,Usefulness and recall,All pilot responses with departure IDs,Research Lead,PLANNED,Directional until sufficient sample
E02,H02 group size,How does occupancy affect interaction,Compare naturally occurring occupancy bands,Interaction and question participation,Multiple represented occupancy bands,Research Lead,PLANNED,Do not overcrowd to create a test
E03,H03 geography,Can the default route operate reliably,Accompanied audit plus departure route records,Completion pain points and recovery use,Field audit and operated departures,Operations Lead,PLANNED,No accessibility claim before audit
E04,H04 language,Which language needs warrant product development,Native-language concept interviews,Preference and job evidence,Recruited target visitors,Research Lead,PLANNED,Do not translate English reviews as evidence
E05,H05 economics,Can paid departures produce contribution,Replace assumptions with actual quotes and paid records,Contribution by departure and channel,Actual supplier and channel costs,Commercial Lead,OPEN,Research sessions excluded from proof
E06,H06 stakeholder conditions,Can the route operate without unacceptable local impact,Structured guide and local debrief plus incident monitoring,Complaints obstruction and control actions,Recorded stakeholder and field evidence,Product Owner,PLANNED,No unsupported destination claim
E07,A02 recruitment,Can relevant visitors be recruited,Compare two controlled recruitment channels,Qualified leads and bookings,Comparable channel offers,Research Lead,PLANNED,Destination demand is not product demand
E08,A03 supplier feasibility,Can qualified supply be secured,Written quote and availability request,Confirmed terms and availability,Current written response,Commercial Lead,OPEN,No assumed fee accepted as actual
E09,Willingness to pay,Will target visitors pay the proposed price,Controlled paid offer without retrospective threshold change,Conversion refunds and realised price,Real paid exposure,Commercial Lead,PLANNED,Interest is not paid conversion
E10,A04 route feasibility,Do route controls work in the field,Audit and dry-run exception tests,Completion hazards and recovery,Named route evidence,Operations Lead,PLANNED,No route approval from desk research alone
E11,Cancellation and no-show,Are booking assumptions realistic,Track classifications by departure and channel,Cancellation no-show and refund rate,All offered paid departures,Commercial Lead,PLANNED,Keep research sessions separate
E12,Weekday demand,Which offered cells show product demand,Balanced offered-departure design,Sessions bookings conversion and load,Comparable weekday cells,Research Lead,PLANNED,No strongest-day claim before evidence
