control_id,control_area,classification,requirement_or_policy,evidence_class,pre_launch_evidence,operating_check,owner,status
C09-01,Centrum guided-tour exemption,LEGAL_REQUIREMENT,"Guide-specific exemption for groups of more than four in regulated Centre",OBSERVED_RULE,"Valid exemption and expiry date","Guide roster plus route-zone check",Operations Lead,BLOCKER
C09-02,Group size and hours,LEGAL_REQUIREMENT,"Maximum 15 participants and tours between 08:00 and 22:00 in regulated Centre",OBSERVED_RULE,"Booking-system capacity rule","Roster and start/end time",Operations Lead,REQUIRED
C09-03,Tour conduct,LEGAL_REQUIREMENT,"No prohibited windows recruitment amplification shouting alcohol/drugs obstructive stops or joining groups",OBSERVED_RULE,"Guide code and stopping map","Departure briefing and exception log",Lead Guide,REQUIRED
C09-04,Land VMR,NOT_APPLICABLE_CURRENTLY,"Land-based city tours have not paid municipal entertainment levy since 1 January 2023",OBSERVED_RULE,"Annual source recheck","None unless rule changes",Finance Owner,MONITOR
C09-05,Online trader information,LEGAL_REQUIREMENT,"Clear trader identity service characteristics VAT-inclusive price costs order and complaint information",OBSERVED_RULE,"Approved booking-page checklist","Version and transaction audit",Commercial Lead,BLOCKER
C09-06,Dated-service cancellation,LEGAL_INTERPRETATION_REQUIRED,"Specific-date service exception may apply; terms and 2026 cancellation-button implementation require counsel",OBSERVED_CONDITIONAL,"Dutch legal review and approved terms","Confirmation email and cancellation handling",Commercial Lead,BLOCKER
C09-07,GDPR,LEGAL_REQUIREMENT,"Lawful basis minimisation transparency security restricted access and retention",OBSERVED_RULE,"Privacy notice processing register and retention schedule","Access and deletion review",Data Owner,BLOCKER
C09-08,Equal treatment and adjustments,LEGAL_REQUIREMENT,"Progressive accessibility and reasonable effective adjustments unless disproportionate",OBSERVED_RULE,"Adjustment process and trained owner","Request-response log",Accessibility Owner,BLOCKER
C09-09,EAA e-commerce,CONDITIONAL_LEGAL_REQUIREMENT,"Applicability depends on covered service and microenterprise threshold; accessible design remains project standard",OBSERVED_CONDITIONAL,"Entity-size assessment and accessibility review","Keyboard form payment and statement checks",Digital Owner,OPEN_CONTROL
C09-10,RI&E,CONDITIONAL_LEGAL_REQUIREMENT,"Required when the operating company employs staff",OBSERVED_CONDITIONAL,"Employment model and RI&E if applicable","Review after staffing change",Business Owner,OPEN_CONTROL
C09-11,Business liability insurance,PROJECT_LAUNCH_POLICY,"Appropriate cover for actual guided-tour activity even where not universally mandatory",PROPOSED_GUARDRAIL,"Policy wording limits territory and activity confirmation","Renewal and incident check",Business Owner,BLOCKER
C09-12,Route and public-space review,PROJECT_CONTROL,"Same-day route accessibility weather works and nuisance check",PROPOSED_GUARDRAIL,"Approved route variants and checklist","Complete before every departure",Lead Guide,BLOCKER
