record_id,product_family_id,risk_reason,required_check,review_status,reviewer,review_date,review_notes
APD02-033,PF-MIKES-CITY-BIKE,family merge,Verify source identity/taxonomy and captured fields; merge rows additionally require independent confirmation.,COMPLETE,OpenAI Phase 2E independent verification pass (separate fresh-evidence review from Phase 2D),2026-08-23,"PASS — fresh second-pass source verification confirms Mike's Bike Tours identity, Amsterdam city-bike product, cycling/direct classification and provenance. Viator and direct listing belong to the same operator/product family; duration variation reflects listing presentation, not a separate product."
APD02-041,PF-LOVERS-CLASSIC-CANAL,family merge; promotion,Verify source identity/taxonomy and captured fields; merge rows additionally require independent confirmation.,COMPLETE,OpenAI Phase 2E independent verification pass (separate fresh-evidence review from Phase 2D),2026-08-23,"PASS — fresh LOVERS evidence confirms the Classic One Hour Amsterdam Canal Cruise, 60-minute format and LOVERS supplier identity. Same-family decision with APD02-058 upheld; price remains excluded because common-window checkout price was not independently verified."
APD02-056,PF-MIKES-CITY-BIKE,family merge,Verify source identity/taxonomy and captured fields; merge rows additionally require independent confirmation.,COMPLETE,OpenAI Phase 2E independent verification pass (separate fresh-evidence review from Phase 2D),2026-08-23,"PASS — fresh official Mike's page confirms Amsterdam City Bike or E-bike Tour, adult €35 and 2.5–3 hour format. Same-family decision with APD02-033 upheld."
APD02-058,PF-LOVERS-CLASSIC-CANAL,family merge; missing/non-numeric price; non-standard price basis,Verify source identity/taxonomy and captured fields; merge rows additionally require independent confirmation.,COMPLETE,OpenAI Phase 2E independent verification pass (separate fresh-evidence review from Phase 2D),2026-08-23,"PASS — fresh LOVERS official page confirms product identity, 60-minute duration and 19-language audio guide. Same-family decision with APD02-041 upheld."
APD02-093,PF-THIS-IS-HOLLAND-ENTRY,family merge,Verify source identity/taxonomy and captured fields; merge rows additionally require independent confirmation.,COMPLETE,OpenAI Phase 2E independent verification pass (separate fresh-evidence review from Phase 2D),2026-08-23,PASS — fresh Expedia page identifies THIS IS HOLLAND as supplier at Overhoeksplein 51 and the one-hour Ultimate Flight Experience. Same-family decision with I amsterdam listing upheld; date-dependent price excluded from common-window analysis.
APD02-094,PF-AMAZE-ENTRY,family merge,Verify source identity/taxonomy and captured fields; merge rows additionally require independent confirmation.,COMPLETE,OpenAI Phase 2E independent verification pass (separate fresh-evidence review from Phase 2D),2026-08-23,"PASS — fresh marketplace/source review confirms AMAZE Amsterdam immersive audiovisual attraction, one-hour format and AMAZE identity. Same-family decision with APD02-107 upheld; common-window retail price not verified."
APD02-095,PF-AMSTERDAM-DUNGEON-ENTRY,family merge,Verify source identity/taxonomy and captured fields; merge rows additionally require independent confirmation.,COMPLETE,OpenAI Phase 2E independent verification pass (separate fresh-evidence review from Phase 2D),2026-08-23,"PASS — second-pass review confirms Amsterdam Dungeon attraction identity, central Amsterdam location and admission-ticket basis. Same-family decision with APD02-102 upheld; retail price remains date-dependent/excluded."
APD02-097,PF-MOCO-ENTRY,family merge,Verify source identity/taxonomy and captured fields; merge rows additionally require independent confirmation.,COMPLETE,OpenAI Phase 2E independent verification pass (separate fresh-evidence review from Phase 2D),2026-08-23,PASS — second-pass review confirms Moco Museum admission product and Moco Museum supplier identity. Same-family decision with APD02-103 upheld; public 'from' price is date-sensitive and excluded from common-window analysis.
APD02-101,PF-THIS-IS-HOLLAND-ENTRY,family merge; missing/non-numeric price; non-standard price basis,Verify source identity/taxonomy and captured fields; merge rows additionally require independent confirmation.,COMPLETE,OpenAI Phase 2E independent verification pass (separate fresh-evidence review from Phase 2D),2026-08-23,PASS — fresh I amsterdam page confirms THIS IS HOLLAND at Overhoeksplein 51 and City Card inclusion with advance time-slot reservation. Same-family identity with APD02-093 upheld; included basis remains non-comparable to retail ticket price.
APD02-102,PF-AMSTERDAM-DUNGEON-ENTRY,family merge; missing/non-numeric price; non-standard price basis,Verify source identity/taxonomy and captured fields; merge rows additionally require independent confirmation.,COMPLETE,OpenAI Phase 2E independent verification pass (separate fresh-evidence review from Phase 2D),2026-08-23,PASS — fresh I amsterdam page confirms The Amsterdam Dungeon at Rokin 78 and City Card time-slot requirement. Same-family identity with APD02-095 upheld; included basis remains non-comparable.
