control_id,topic,rule,rationale,mandatory_for_full_collection,applies_to,qa_check,status
CP01,Scope,Collect publicly bookable Amsterdam-area visitor experiences competing for discovery time/budget; exclude broken/empty/off-area pages.,Maintains Article 01/02 target population.,YES,All rows,Scope/category check,APPROVED
CP02,Sample size,Minimum 60 valid full-collection listings; working target 80; ceiling 100 unless the research lead documents a coverage reason.,Prevents arbitrary pursuit of 100 while satisfying the approved range.,YES,Dataset,Count valid FULL rows,APPROVED
CP03,Manual collection,Use manual structured public-page review. Automation/scraping is not authorized by this pack.,Preserves Article 02 lawful-use boundary.,YES,All sources,Collection method review,APPROVED
CP04,Source diversity,No single platform should exceed 35% of the analysis-ready listing sample unless access constraints are documented.,Reduces platform-sampling distortion revealed by the pilot.,YES,Sampling,Platform share calculation,APPROVED
CP05,Product URL,Capture the most specific public product-detail URL when available; retain source_url for provenance.,Improves recheck and duplicate resolution.,YES,Full rows,URL completeness,APPROVED
CP06,Observation timestamp,Record an offset-aware observation_datetime for every new full row.,"Prices, ratings and policies are time-sensitive.",YES,Full rows,Timestamp completeness,APPROVED
CP07,Common participant,Default comparable price scenario is 1 adult standard participant. Document any product-required deviation.,Creates a consistent price basis without inventing equivalence.,YES,Comparable price rows,Participant-profile audit,APPROVED
CP08,Common service date,"Use one common future service date for each comparison batch. If unavailable, use the documented fallback window and flag the deviation.",Controls date-driven price variation.,YES,Comparable price rows,Service-date distribution,APPROVED
CP09,Option observed,Record the exact option/variant used whenever a page offers multiple bookable choices.,"Option differences change price, duration, language and inclusions.",YES,Multi-option rows,Option field check,APPROVED
CP10,Raw price preservation,Never overwrite original_price; capture payable displayed value and any visible reference/promotional price separately.,Maintains raw evidence and permits promo QA.,YES,Priced rows,Original vs cleaned review,APPROVED
CP11,Price basis,"Classify price as per_person, per_group, bundle, included, not_displayed or unknown before analysis.",Prevents incompatible price pooling.,YES,Priced rows,Allowed-value check,APPROVED
CP12,Promotion,Review promotion_flag before any price analysis; crossed-out/reference prices are not treated as payable prices.,Avoids false price averages.,YES,Priced rows,Promo/reference consistency,APPROVED
CP13,Currency,Retain display_currency. Normalize only in the analytical layer using one documented FX source/date for the analysis batch.,Separates observation from transformation.,YES,Cross-currency analysis,FX completeness/recalculation,APPROVED
CP14,Missingness,"Blank/NOT_DISPLAYED/unknown must be used according to the dictionary; never convert missing evidence to zero, false, or not offered.",Prevents fabricated negative evidence.,YES,All rows,Missing-data scan,APPROVED
CP15,Language,Record only languages explicitly displayed for the observed product/option; NOT_DISPLAYED does not mean monolingual.,Avoids overclaiming supply-language gaps.,YES,All rows,Language disclosure check,APPROVED
CP16,Ratings/reviews,Capture public aggregates only; never interpret review count as bookings or demand.,Maintains Article 02 inference boundary.,YES,Rated rows,Type/range check,APPROVED
CP17,Product identity,Retain every marketplace listing as an observation. Use product_family_id only after human duplicate review.,Separates listings from underlying products.,YES,All rows,Family/duplicate gate,APPROVED
CP18,Duplicate evidence,"Compare operator, product reference, title, duration, itinerary, inclusions, meeting point and options. Title similarity alone cannot authorize a merge.",Reduces false duplicate consolidation.,YES,Duplicate candidates,Evidence checklist,APPROVED
CP19,Duplicate status,"Every full row must reach CONFIRMED_SAME_FAMILY, CONFIRMED_DISTINCT or documented UNRESOLVED before product-family frequency analysis.",Makes duplicate uncertainty explicit.,YES,Analysis rows,Duplicate status scan,APPROVED
CP20,Taxonomy,Use one primary category from the dictionary; subcategory can preserve detail. Reclassifications require a transformation note.,Supports comparable distribution counts.,YES,All rows,Category validity,APPROVED
CP21,Source access,Inaccessible or blocked sources are documented as limitations; do not bypass access controls to satisfy quotas.,Preserves compliance and transparency.,YES,Sampling,Coverage exception log,APPROVED
CP22,Review sample,A second reviewer checks at least 20% of full rows plus every proposed duplicate-family merge and every FX-normalized price rule.,Adds QA proportionate to judgment risk.,YES,Full pack,Second-review count,APPROVED
CP23,Stage gates,New rows progress RAW → REVIEWED → DUPLICATE_CHECKED → NORMALIZED → ANALYSIS_READY. REJECTED rows remain preserved with reason.,Operationalizes Article 01 pipeline.,YES,All new rows,Stage transition check,APPROVED
CP24,Analysis eligibility,Category shares use validated product families; price statistics use only comparable bases/dates/participant scenarios/currencies after normalization.,Prevents premature or distorted Article 03 inputs.,YES,Analytical outputs,Eligibility filter review,APPROVED
CP25,Article 03 gate,"Do not open Article 03 until the Article 02 full sample is QA-reviewed, duplicate treatment is documented, price protocol is applied, and the evidence pack is frozen.",Preserves the declared research sequence.,YES,Project gate,Research-lead sign-off,APPROVED
