prd_id,requirement_area,requirement,evidence_trace,priority,kpi_acceptance
PRD-01,Customer outcome,Visitor leaves able to explain at least three Amsterdam layers and identify two useful onward choices,H01; A04-R01; A04-R10; A05 PRIMARY,Must,Comprehension recall >=80%; onward recommendation usefulness >=4/5
PRD-02,Format,"Live small-group contextual walking experience with modular route; paid venues are optional, never critical path",A04-R01; A04-R07; A06 route architecture,Must,Guide quality >=4.6/5; route completion >=95%
PRD-03,Core geography,Use Plantage→Oosterpark as default pilot corridor; retain approved rain/peak/access/disruption variants from Article 06,A06 C03; R01-R05 variants,Must,Variant switch success >=95%; destination incident rate=0
PRD-04,Duration & effort,"Target 110–135 minutes; disclose ~3.2 km default distance, surfaces, breaks and accessibility limits before booking",A04-R05; A06 R01,Must,Physical-effort expectation accuracy >=90%; pace complaints <5%
PRD-05,Interpretation,"Every core module must contain verified context, present-day relevance and a clear link to the customer job",A04-R01; JTBD; H01,Must,Content QA pass=100%; context usefulness >=4.5/5
PRD-06,Discovery,At least two less-obvious local texture moments per standard route; no unsupported hidden-gem claims,A04-R03; A06 A3,Must,Discovery usefulness >=4.3/5
PRD-07,Arrival/navigation,"Send recognition cues, start-point map, late-arrival rule and recovery contact before departure",A04-R04,Must,Meeting-point failure <2%; late-start attributable to instructions <3%
PRD-08,Recovery & resilience,Toilet/seating/shelter/transit recovery must exist within planned route architecture; guide performs same-day disruption check,A06 A4/A5/A6; GVB evidence,Must,Unplanned route abandonment <2%; recovery-point availability >=95%
PRD-09,Capacity,"Pilot at maximum 8 guests; treat 8 as test capacity, not proven commercial optimum",H02; A04-R07; Hortus optional module max 8,Should,Question participation >=80%; interaction score >=4.5/5
PRD-10,Language,Primary prototype in English; German version is Secondary research track; French remains Test until native-language VOC and guide/commercial checks pass,A05 segment/language matrices; H04,Must,Language comprehension >=4.5/5; no dedicated non-English launch before validation
PRD-11,Supplier design,Core experience must remain deliverable with qualified guide + public realm + public transport only; optional venues cannot break the customer promise,A03; supplier matrix; A06,Must,Core supplier single-point failures=0 except guide; optional module cancellation preserves >=90% content promise
PRD-12,Destination responsibility,"Comply with group, stopping, nuisance and restricted-area rules; route must preserve resident fit and dispersal intent",A06 responsibility register; H06,Must,Regulatory breaches=0; resident/public-space incidents=0
PRD-13,Accessibility,Do not market as fully accessible until field audit; maintain a candidate accessibility variant and same-day lift/status verification,A04; A06 R04; GVB,Must,Accessibility claims audit pass=100%
PRD-14,Commercial boundary,"No final retail price, commission structure or margin claim is approved in Article 07",H05; Article02 price limits,Must,Commercial Model remains gated to Article 08
