product_family_id,representative_title,listing_count,sources,category,competitor_class,operators,identity_status,price_ready_listing_count,notes
PF-AMAZE-ENTRY,Amsterdam: AMAZE Immersive Light & Sound Experience,2,EXPEDIA;GYG,Performance/Other,SUBSTITUTE,AMAZE,CONFIRMED_SAME_FAMILY,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-AMSTERDAM-DUNGEON-ENTRY,The Amsterdam Dungeon Admission Ticket,2,EXPEDIA;IAMSTERDAM,Performance/Other,SUBSTITUTE,Merlin Entertainments;The Amsterdam Dungeon,CONFIRMED_SAME_FAMILY,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-025,Amsterdam: Dutch Countryside E-Bike or Bike Tour With Cheese & Clogs,1,VIATOR,Regional/Day trip,DIRECT,,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-026,Amsterdam Canal Cruise with Local Guide and Small Group,1,VIATOR,Canal,DIRECT,EcoBoats (named in recent review; supplier identity requires confirmation),CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-027,Amsterdam: Sightseeing Canal Cruise With Drinks Upgrades,1,VIATOR,Canal,DIRECT,,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-028,Jordaan Food Tour with Dutch Tastings in Amsterdam,1,VIATOR,Food,DIRECT,,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-029,"Amsterdam Cheese, Windmill & Countryside Bike Tour / E-bike Option",1,VIATOR,Regional/Day trip,DIRECT,,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-030,Amsterdam Small-Group Walking Food Tour With 10 Tastings,1,VIATOR,Food,DIRECT,,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-031,Amsterdam Canal Cruise in Open Boat with Unlimited Drinks Option,1,VIATOR,Canal,DIRECT,,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-032,Guided Bike Tour of Amsterdam Highlights & Hidden Gems,1,VIATOR,Cycling,DIRECT,,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-034,Amsterdam Small-Group or Private Bike Tour With Dutch Snack,1,VIATOR,Cycling,DIRECT,,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-035,STRAAT Museum Ticket in Amsterdam with Canal Cruise,1,KLOOK,Bundle,SUBSTITUTE,,CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
PF-APD02-036,Stedelijk Museum Ticket and Lovers Canal Cruise,1,KLOOK,Bundle,SUBSTITUTE,LOVERS Canal Cruises (cruise component),CONFIRMED_DISTINCT,0,Marketplace listings retained separately; family register is the deduplicated analytical identity layer.
