metric_id,pillar,metric,evidence_class,definition,data_source,review_frequency,proposed_threshold,claim_status,owner
S09-01,Destination,Resident or business complaints,PROPOSED_METRIC,"Validated complaints per 100 departures",Complaint log,Monthly,"Investigate every case; escalation at 2 related cases",NOT_YET_MEASURED,Service Quality Lead
S09-02,Destination,Obstruction events,PROPOSED_METRIC,"Stops moved after blocking flow entrance bridge or cycle movement",Guide exception log,Weekly,"Zero repeated obstruction at same stop",NOT_YET_MEASURED,Operations Lead
S09-03,Destination,Interpretation outside highest-pressure core,PROPOSED_METRIC,"Minutes delivered outside the most pressured Centre stops divided by total interpretation minutes",Route timing log,Monthly,"At least 60% in approved eastward corridor",NOT_YET_MEASURED,Product Owner
S09-04,Social,Accessibility requests handled,PROPOSED_METRIC,"Requests with documented response and outcome divided by requests received",Adjustment log,Monthly,"100% acknowledged and assessed",NOT_YET_MEASURED,Accessibility Owner
S09-05,Social,Expectation accuracy,PROPOSED_METRIC,"Guests reporting that effort duration content and inclusions matched booking information",Post-tour question,Monthly,"At least 90% after minimum sample",NOT_YET_MEASURED,Product Owner
S09-06,Social,Cultural-integrity corrections,PROPOSED_METRIC,"Verified interpretation corrections or dignity complaints",Correction log,Monthly,"Investigate all; zero repeated approved-script errors",NOT_YET_MEASURED,Content Lead
S09-07,Environmental,Dedicated motorised operating transport,DESIGN_INTENT,"Vehicle kilometres commissioned solely for normal tour operation",Supplier and departure log,Monthly,"Zero for standard departure",NOT_YET_MEASURED,Operations Lead
S09-08,Environmental,Public-transport arrival prompt,DESIGN_INTENT,"Share of confirmations containing current public-transport and walking guidance",Confirmation audit,Monthly,"100% where practical",NOT_YET_MEASURED,Digital Owner
S09-09,Environmental,Single-use materials,DESIGN_INTENT,"Single-use items purchased or distributed per guest",Purchase log,Monthly,"Zero default giveaways",NOT_YET_MEASURED,Operations Lead
S09-10,Environmental,Tour-generated litter,PROPOSED_METRIC,"Litter incidents attributable to the departure",Guide closeout,Weekly,"Zero",NOT_YET_MEASURED,Lead Guide
S09-11,Economic,Local delivery spend,PROPOSED_METRIC,"Eligible local guide and supplier spend divided by delivery spend",Accounts,Quarterly,"Report transparently; threshold after baseline",NOT_YET_MEASURED,Finance Owner
S09-12,Economic,Positive contribution,ARTICLE08_GUARDRAIL,"Departure contribution using the approved Article 08 formula",Booking and cost ledger,Per departure,"No routinely guaranteed negative contribution",NOT_YET_MEASURED,Commercial Lead
S09-13,Economic,Supplier payment timing,PROPOSED_METRIC,"Days between valid invoice/service milestone and payment",Accounts,Monthly,"Meet contracted term in 100% of cases",NOT_YET_MEASURED,Finance Owner
S09-14,Economic,Sustainability claim evidence,PROPOSED_METRIC,"Public claims with named metric period source and approver divided by sustainability claims",Claim register,Quarterly,"100%",NOT_YET_MEASURED,Product Owner
