poi_id,poi_name,zone,latitude,longitude,poi_type,operating_hours_summary,accessibility,rest_toilet_support,public_transport_summary,crowding_risk_1_5,neighbourhood_sensitivity_1_5,visitor_dispersal_value_1_5,weather_exposure_1_5,storytelling_value_1_5,attraction_relevance_1_5,source_url,operational_note
P01,Anne Frank House,Jordaan / Western Canal Belt,52.37521,4.88434,Museum / historical anchor,Daily 09:00–22:00; exceptions apply,LIMITED,Accessible toilet in modern section; steep stairs limit full access,Dam / Westermarkt corridor; tram service to Westermarkt disrupted through Feb 2028,5,5,1,2,5,5,https://www.annefrank.org/en/museum/practical-information/,Timed-ticket anchor; do not make a guided-group stopping point at congested entrance.
P02,Westerkerk / Westermarkt,Jordaan / Western Canal Belt,52.37454,4.88392,Landmark / public realm,Exterior always visible; church access varies,MEDIUM,Public seating nearby; toilet availability variable,Walk from Dam; temporary Westermarkt tram disruption,5,5,1,2,5,5,https://www.iamsterdam.com/en/whats-on/calendar/attractions-and-sights/attractions/westerkerk,High storytelling value; crowd-sensitive.
P03,Noordermarkt,Jordaan / Western Canal Belt,52.37937,4.88677,Market / square,Market activity varies by day,MEDIUM,Cafes/venues nearby; public toilet not guaranteed,Bus/tram access via nearby Jordaan stops; walk from Central,4,4,2,3,5,5,https://www.iamsterdam.com/en/whats-on/calendar/markets/noordermarkt,Strong neighbourhood-life storytelling; avoid blocking market flows.
P04,Begijnhof,Historic Centre,52.36944,4.89007,Historic courtyard,Approx. 10:00–18:00,MEDIUM-HIGH,No dedicated public toilet; nearby commercial facilities,Walk from Spui/Rokin transit,4,5,1,2,5,4,https://www.iamsterdam.com/en/whats-on/calendar/attractions-and-sights/attractions/begijnhof,Quiet residential/religious character requires low-noise interpretation.
P05,De Hallen Amsterdam,Oud-West,52.36705,4.86816,Cultural complex / food / shelter,Approx. 07:00–01:00 complex hours; tenants vary,HIGH,Indoor seating and toilets available through venues,Tram/bus along Kinkerstraat; step-free options depend on stop,3,2,5,1,4,4,https://www.iamsterdam.com/en/whats-on/calendar/attractions-and-sights/attractions/de-hallen-amsterdam,Excellent rain/recovery node and dispersal value.
P06,Rijksmuseum,Museumplein / Zuid,52.35986,4.885,Museum / cultural anchor,Daily 09:00–17:00,HIGH,"Accessible toilets, seating, café",Multiple tram/bus options; nearby Spiegelgracht stop has accessibility caveat,5,2,2,1,5,5,https://www.rijksmuseum.nl/en/visit/accessibility,Strong indoor resilience; very high visitor intensity.
P07,Museumplein,Museumplein / Zuid,52.35796,4.88164,Public square / cultural cluster,Public realm generally open,HIGH,Benches/venues; toilets in surrounding museums/venues,Tram/bus/metro connections in wider area,5,2,2,4,4,4,https://www.iamsterdam.com/en/explore/neighbourhoods/zuid/museum-quarter,Flexible orientation node but exposed to rain/wind and event crowding.
P08,Albert Cuyp Market,De Pijp,52.35573,4.89436,Market / food / neighbourhood,Typically daytime market hours; verify day-specific operation,MEDIUM,Commercial toilets/cafes nearby; public toilet not guaranteed,Metro De Pijp + tram/bus access,5,4,4,4,5,5,https://www.iamsterdam.com/en/whats-on/calendar/markets/albert-cuypmarkt,High sensory/storytelling value; busy trading environment.
P09,Sarphatipark,De Pijp,52.35418,4.89544,Park / neighbourhood relief,Public park,MEDIUM-HIGH,Benches; toilet availability limited,Metro De Pijp / tram connections nearby,3,2,4,5,3,3,https://www.iamsterdam.com/en/explore/neighbourhoods/de-pijp,Useful decompression/rest node; weather exposed.
P10,Jewish Museum,Plantage / East Centre,52.36708,4.9042,Museum / cultural anchor,Generally 11:00–17:00; Jewish holidays affect opening,HIGH,Accessible restroom and lift,Waterlooplein metro/tram nearby,3,4,4,1,5,5,https://www.iamsterdam.com/en/whats-on/calendar/museums-and-galleries/museums/jewish-museum,High interpretive sensitivity; strong indoor fallback.
