record_id,source,observed_title,category,collection_stage,price_captured,common_service_date_verified,duplicate_review_status,source_url,collection_note
APD02-025,VIATOR,Amsterdam: Dutch Countryside E-Bike or Bike Tour With Cheese & Clogs,Regional/Day trip,ANALYSIS_READY,YES,NO,CONFIRMED_DISTINCT,https://www.viator.com/tours/Amsterdam/Amsterdam-Countryside-Bike-Tour-Including-Cheese-Tasting-and-Clog-Demonstration/d525-6464COUNTRY,Viator public listing/category price observed as a from-price; common 2026-09-15 service-date checkout not verified. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-026,VIATOR,Amsterdam Canal Cruise with Local Guide and Small Group,Canal,ANALYSIS_READY,YES,NO,CONFIRMED_DISTINCT,https://www.viator.com/tours/Amsterdam/1-hour-Amsterdam-Canal-Cruise-with-Local-Skipper/d525-463549P1,Viator page displayed from $22.60 per person; common service-date checkout not verified. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-027,VIATOR,Amsterdam: Sightseeing Canal Cruise With Drinks Upgrades,Canal,ANALYSIS_READY,YES,NO,CONFIRMED_DISTINCT,https://www.viator.com/tours/Amsterdam/Amsterdam-Booze-Boat/d525-220898P2,Viator water-tour listing showed from $23 for comparable booze-cruise family; exact common-date checkout not verified. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-028,VIATOR,Jordaan Food Tour with Dutch Tastings in Amsterdam,Food,ANALYSIS_READY,YES,NO,CONFIRMED_DISTINCT,https://www.viator.com/tours/Amsterdam/Amsterdam-Jordaan-District-Food-Walking-Tour/d525-6624FOOD,"Viator Amsterdam Food Tours category showed this family among leading food tours; public from-price retained, common service-date checkout pending. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified."
APD02-029,VIATOR,"Amsterdam Cheese, Windmill & Countryside Bike Tour / E-bike Option",Regional/Day trip,ANALYSIS_READY,YES,NO,CONFIRMED_DISTINCT,https://www.viator.com/tours/Amsterdam/Amsterdam-Cheese-Windmill-and-Countryside-Bike-Tour/d525-5525234P1,Viator page displayed from $54.37 per person; common service-date checkout not verified. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-030,VIATOR,Amsterdam Small-Group Walking Food Tour With 10 Tastings,Food,ANALYSIS_READY,NO,NO,CONFIRMED_DISTINCT,https://www.viator.com/tours/Amsterdam/Guilty-Pleasure-Food-and-Drink-Tour-Trough-Old-Amsterdam-and-Red-Light-District/d525-375412P1,Viator detail page exposed duration/inclusions but no stable price in retrieved page; price left NOT_DISPLAYED. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-031,VIATOR,Amsterdam Canal Cruise in Open Boat with Unlimited Drinks Option,Canal,ANALYSIS_READY,YES,NO,CONFIRMED_DISTINCT,https://www.viator.com/en-GB/tours/Amsterdam/Amsterdam-Canal-Cruise-60-minutes/d525-21949P15,Viator public cruise category showed comparable from-price around $23; exact common-date checkout pending. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-032,VIATOR,Guided Bike Tour of Amsterdam Highlights & Hidden Gems,Cycling,ANALYSIS_READY,NO,NO,CONFIRMED_DISTINCT,https://www.viator.com/tours/Amsterdam/Bike-Tour-of-Amsterdams-Highlights-and-Hidden-Gems/d525-71193P1,"Viator detail page exposed duration, inclusions and meeting point; stable price not shown in retrieved page. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified."
APD02-033,VIATOR,Amsterdam Highlights Bike or E-Bike Tour,Cycling,ANALYSIS_READY,YES,NO,CONFIRMED_SAME_FAMILY,https://www.viator.com/en-GB/tours/Amsterdam/Amsterdam-City-Bike-Tour/d525-6464CITY,Viator comparison panel showed from $43.56; common service-date checkout not verified. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-034,VIATOR,Amsterdam Small-Group or Private Bike Tour With Dutch Snack,Cycling,ANALYSIS_READY,NO,NO,CONFIRMED_DISTINCT,https://www.viator.com/tours/Amsterdam/Small-City-Bike-Tour/d525-100957P1,Viator detail page exposed 2-hour duration and inclusions; stable price not shown in retrieved page. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-035,KLOOK,STRAAT Museum Ticket in Amsterdam with Canal Cruise,Bundle,ANALYSIS_READY,YES,NO,CONFIRMED_DISTINCT,https://www.klook.com/activity/87343-amsterdam-canal-cruise-with-straat-museum-ticket/,Klook public page displayed ¥385 reference and ¥308 current package value; date-specific availability was not verified. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-036,KLOOK,Stedelijk Museum Ticket and Lovers Canal Cruise,Bundle,ANALYSIS_READY,NO,NO,CONFIRMED_DISTINCT,https://www.klook.com/activity/212019-stedelijk-musuem-ticket-and-lovers-canal-cruise/,Klook page described the bundle and meeting points; no stable public price in retrieved page. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-037,KLOOK,Van Gogh Museum + 1-Hour Canal Cruise,Bundle,ANALYSIS_READY,NO,NO,CONFIRMED_DISTINCT,https://www.klook.com/en-AE/activity/2819-van-gogh-museum-amsterdam/,Klook page described museum/cruise bundle; price not stable in retrieved page and common date not checked. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-038,KLOOK,"Keukenhof, Zaanse Schans & Volendam Tour from Amsterdam",Regional/Day trip,ANALYSIS_READY,NO,NO,CONFIRMED_DISTINCT,https://www.klook.com/activity/17543-countryside-windmills-keukenhof-tour-amsterdam/,"Klook product was seasonal for 19 Mar–10 May 2026; not available on common September comparison date, so no comparable price recorded. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified."
APD02-039,KLOOK,Moco Museum Ticket and Amsterdam Canal Cruise Experience,Bundle,ANALYSIS_READY,NO,NO,CONFIRMED_DISTINCT,https://www.klook.com/en-US/activity/19861-canal-cruise-moco-museum-ticket-amsterdam/,Klook detail page exposed bundle structure and languages; no stable public price in retrieved page. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-040,KLOOK,"Volendam, Marken, Edam & Zaanse Schans Windmills Tour from Amsterdam",Regional/Day trip,ANALYSIS_READY,YES,NO,CONFIRMED_DISTINCT,https://www.klook.com/activity/84942-amsterdam-countryside-windmills-tour-amsterdam/,Klook page displayed ¥348 reference and ¥278 current Classic Tour value; common-date checkout not verified. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-041,TIQETS,Traditional 1-hour Canal Cruise,Canal,ANALYSIS_READY,YES,NO,CONFIRMED_SAME_FAMILY,https://www.tiqets.com/en/amsterdam-attractions-c75061/tickets-for-traditional-1-hour-canal-cruise-p1135497/,Tiqets Amsterdam category page showed £13.27 reference and £10.39 current price; product page used for duration/options. Common service date not selected. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
