record_id,product_family_id,source,source_url,collection_date,observed_title,category,subcategory,competitor_type,display_currency,original_price,cleaned_price,price_basis,duration_minutes,group_model,language,rating_scale,rating_value,review_count,positioning,differentiating_features,duplicate_note,missing_data_flag,evidence_class,confidence,status,source_owner,product_detail_url,operator_name,operator_product_reference,observation_datetime,service_date,participant_profile,option_observed,display_context,promotion_flag,reference_price_original,normalized_currency,normalized_price,fx_rate,fx_rate_date,itinerary_summary,inclusions_summary,meeting_point,cancellation_summary,duplicate_candidate_group,duplicate_review_status,transformation_note,collection_stage,reviewer,last_reviewed
APD02-001,PF-CANAL-LUX,GYG,https://www.getyourguide.com/the-jordaan-l2983/,2026-08-22,Luxury Canal Cruise with Unlimited Drinks & Bites,Canal,live-hosted food/drink,DIRECT,USD,$30 $17,17,per_person,60-90,shared; private option,NOT_DISPLAYED,5,4.5,21753,luxury social cruise,drinks; bites; private option,Possible cross-platform Flagship family; unresolved,true,Observed Data,Medium,PILOT,,,,,,,,,,UNREVIEWED,,,,,,,,,,,REVIEW_REQUIRED,,PILOT_REVIEWED,,2026-08-22
APD02-002,PF-WALK-ANNE,GYG,https://www.getyourguide.com/the-jordaan-l2983/,2026-08-22,Anne Frank: Small-Group Walking Tour & Local Guide,Walking,history themed,DIRECT,USD,$38 $28,28,per_person,120,small group; private option,NOT_DISPLAYED,5,4.8,12870,local historical interpretation,small group; private option,,true,Observed Data,Medium,PILOT,,,,,,,,,,UNREVIEWED,,,,,,,,,,,NOT_ASSESSED,,PILOT_REVIEWED,,2026-08-22
APD02-003,PF-CANAL-SALOON,GYG,https://www.getyourguide.com/the-jordaan-l2983/,2026-08-22,Classic Saloon Boat Cruise with Cheese & Wine,Canal,food/drink saloon,DIRECT,USD,$29 $18,18,per_person,60,shared; private option,NOT_DISPLAYED,5,4.6,27281,classic canal atmosphere,cheese; wine; saloon boat,Likely distributed on other OTAs; unresolved,true,Observed Data,Medium,PILOT,,,,,,,,,,UNREVIEWED,,,,,,,,,,,REVIEW_REQUIRED,,PILOT_REVIEWED,,2026-08-22
APD02-004,PF-BIKE-BIG,GYG,https://www.getyourguide.com/the-jordaan-l2983/,2026-08-22,Big Bike Tour Amsterdam,Cycling,city highlights,DIRECT,USD,$42 $34,34,per_person,180,shared; private option,English; German; Dutch; French; Spanish audio,5,4.7,4948,see all neighbourhoods,multi-language; broad route,,false,Observed Data,Medium,PILOT,,,,,,,,,,UNREVIEWED,,,,,,,,,,,NOT_ASSESSED,,PILOT_REVIEWED,,2026-08-22
APD02-005,PF-CANAL-HISTORIC,GYG,https://www.getyourguide.com/the-jordaan-l2983/,2026-08-22,Historic City Centre Canal Cruise,Canal,classic audio,DIRECT,USD,$23 $15,15,per_person,60-75,shared,optional audio guide,5,4.3,703,historic city-centre overview,flexible duration; audio option,,false,Observed Data,Medium,PILOT,,,,,,,,,,UNREVIEWED,,,,,,,,,,,NOT_ASSESSED,,PILOT_REVIEWED,,2026-08-22
APD02-006,PF-FOOD-JORDAAN,GYG,https://www.getyourguide.com/the-jordaan-l2983/,2026-08-22,Jordaan District Local Food Walking Tour,Food,neighbourhood walking,DIRECT,USD,$105,105,per_person,180,shared; private option,NOT_DISPLAYED,5,4.8,311,local food and neighbourhood,tastings; private option,,true,Observed Data,Medium,PILOT,,,,,,,,,,UNREVIEWED,,,,,,,,,,,NOT_ASSESSED,,PILOT_REVIEWED,,2026-08-22
APD02-007,PF-BIKE-HIGHLIGHTS,GYG,https://www.getyourguide.com/the-jordaan-l2983/,2026-08-22,Top Highlights Guided Bike Tour,Cycling,city highlights,DIRECT,USD,$33 $22,22,per_person,90,shared,NOT_DISPLAYED,5,4.8,1006,efficient highlights,short format; bike,,true,Observed Data,Medium,PILOT,,,,,,,,,,UNREVIEWED,,,,,,,,,,,NOT_ASSESSED,,PILOT_REVIEWED,,2026-08-22
APD02-008,PF-CANAL-PRIVATE,GYG,https://www.getyourguide.com/the-jordaan-l2983/,2026-08-22,Private Canal Tour,Canal,private,DIRECT,USD,$193 per group up to 6,193,per_group,60-120,private,NOT_DISPLAYED,5,4.8,149,private flexible canal experience,private group; variable duration,,true,Observed Data,Medium,PILOT,,,,,,,,,,UNREVIEWED,,,,,,,,,,,NOT_ASSESSED,,PILOT_REVIEWED,,2026-08-22
APD02-009,PF-FOOD-TASTINGS,GYG,https://www.getyourguide.com/the-jordaan-l2983/,2026-08-22,Top 10 Tastings of Amsterdam,Food,guided walking tastings,DIRECT,USD,$89 $84,84,per_person,180,shared,NOT_DISPLAYED,5,4.9,63,curated tastings,ten tastings; walking,,true,Observed Data,Medium,PILOT,,,,,,,,,,UNREVIEWED,,,,,,,,,,,NOT_ASSESSED,,PILOT_REVIEWED,,2026-08-22
APD02-010,PF-WALK-SMALL,GYG,https://www.getyourguide.com/the-jordaan-l2983/,2026-08-22,Amsterdam Small-Group Walking Tour,Walking,city orientation,DIRECT,USD,$23 $20,20,per_person,150,small group,NOT_DISPLAYED,5,4.7,1010,small-group city introduction,small group,,true,Observed Data,Medium,PILOT,,,,,,,,,,UNREVIEWED,,,,,,,,,,,NOT_ASSESSED,,PILOT_REVIEWED,,2026-08-22
APD02-011,PF-SHOW-COMEDY,GYG,https://www.getyourguide.com/the-jordaan-l2983/,2026-08-22,Boom Chicago English Comedy Show,Performance,evening entertainment,SUBSTITUTE,USD,$30,30,per_person,120,shared,English,5,4.5,220,English evening entertainment,indoor live show,,false,Observed Data,Medium,PILOT,,,,,,,,,,UNREVIEWED,,,,,,,,,,,NOT_ASSESSED,,PILOT_REVIEWED,,2026-08-22
