field,value
working_name,Amsterdam Layers — Context & Neighbourhood Discovery
concept_type,Live small-group modular contextual walking experience
primary_segment,English-speaking international cultural city-break visitor
secondary_research_segment,German-speaking repeat/short-break explorer
test_segment,French-speaking cultural city-break visitor
default_corridor,Plantage → Oosterpark
target_duration,110–135 minutes
pilot_capacity,"Maximum 8 guests; test parameter, not commercial optimum"
core_promise,"Help visitors understand how Amsterdam became the city they are experiencing now, while discovering a lower-pressure neighbourhood arc and leaving with useful orientation for the rest of the stay."
core_dependencies,Qualified guide + public realm + live transport/disruption information
optional_dependencies,Hortus/indoor modules and digital follow-up; must not break core promise if unavailable
commercial_status,Not priced; Article 08 required
accessibility_status,Candidate accessible variant exists; full accessibility claim prohibited until field audit
decision_gate_3,CONCEPT APPROVED for commercial/field validation; not launch approved
