threshold_id,dimension,frozen_threshold,actual_result,sample_size,status,hard_gate,evidence_source,decision_note
T01,Legal and compliance,Zero critical legal blockers,,,AWAITING_REAL_OPERATIONAL_DATA,YES,Compliance closure,
T02,Safety,Zero preventable severe safety incidents,,,AWAITING_REAL_OPERATIONAL_DATA,YES,Incident log,
T03,Accessibility,No unsupported accessibility claim,,,AWAITING_REAL_OPERATIONAL_DATA,YES,Accessibility review,
T04,Process,100% departure-day control completion,,,AWAITING_REAL_OPERATIONAL_DATA,YES,Daily operations pack,
T05,Route,At least 95% approved route completion,,,AWAITING_REAL_OPERATIONAL_DATA,NO,Departure records,
T06,Customer value,Context usefulness at least 4.5 of 5,,,AWAITING_REAL_OPERATIONAL_DATA,NO,Post-tour survey,
T07,Comprehension,Recall at least 80%,,,AWAITING_REAL_OPERATIONAL_DATA,NO,Recall check,
T08,Expectation accuracy,Physical-effort accuracy at least 90%,,,AWAITING_REAL_OPERATIONAL_DATA,NO,Post-tour survey,
T09,Interaction,Interaction quality at least 4.5 of 5,,,AWAITING_REAL_OPERATIONAL_DATA,NO,Post-tour survey,
T10,Participation,Question participation at least 80%,,,AWAITING_REAL_OPERATIONAL_DATA,NO,Guide close-out,
T11,Meeting point,Meeting-point failure below 2%,,,AWAITING_REAL_OPERATIONAL_DATA,NO,Arrival log,
T12,Feedback,Feedback response at least 70%,,,AWAITING_REAL_OPERATIONAL_DATA,NO,Survey ledger,
T13,Commercial,Non-negative recurring paid contribution,,,AWAITING_REAL_OPERATIONAL_DATA,YES,Realised ledger,
T14,Cost capture,Actual paid departure costs 100% complete,,,AWAITING_REAL_OPERATIONAL_DATA,YES,Cost reconciliation,
T15,Destination,No unresolved material destination-impact event,,,AWAITING_REAL_OPERATIONAL_DATA,YES,Stakeholder event log,
