theme_code,theme_name,mentions,share_of_theme_mentions_pct
GUIDE_KNOWLEDGE,Human expertise,13,13.7
HIDDEN_LOCAL_DISCOVERY,Local/less-obvious discovery,11,11.6
STORYTELLING_CONTEXT,Interpretation & storytelling,10,10.5
GROUP_INTERACTION,Group dynamics,9,9.5
FOOD_QUALITY_VARIETY,Food quality & variety,9,9.5
PACE_WALKING,Pace & physical load,7,7.4
ORIENTATION_RECOMMENDATIONS,Trip orientation,6,6.3
DEPTH_OF_INFO,Depth of information,5,5.3
ITINERARY_COVERAGE,Promise vs route coverage,5,5.3
CULTURE_WITH_FOOD,Food-cultural interpretation,4,4.2
FOOD_QUANTITY_VALUE,Food quantity,3,3.2
NAVIGATION,Navigation quality,3,3.2
PRODUCTION_QUALITY,Audio/content production,3,3.2
ROUTE_QUALITY,Route quality,3,3.2
VALUE_FOR_MONEY,Value for money,2,2.1
MEETING_POINT_CLARITY,Arrival clarity,1,1.1
DIETARY_INCLUSION,Dietary inclusion,1,1.1
