field_name,data_layer,definition,data_type,unit_or_format,allowed_values,required_stage,source_or_method,cleaning_rule,missing_value_rule,provenance_rule,duplicate_rule,price_rule,example,evidence_class,confidence_rule,lawful_use_note,reviewer_requirement,status
record_id,RAW,Stable unique observation identifier,string,APD02-###,,Required from capture,Generated,Never changed after assignment,Never blank,Links every later transformation back to one observation,Never used to infer duplicate identity,,APD02-025,Observed Data,High when unique,No personal data,Unique-ID check,ACTIVE_PHASE1
product_family_id,ANALYTICAL,Human-approved identifier linking listings that may represent one underlying product family,string,PF-...,,Required before analysis,Human review,Assign only after duplicate review; unresolved families remain provisional,Blank allowed until review,Retain all listing record IDs,Merge only after human review of operator/title/duration/meeting/inclusions/options,,PF-CANAL-LUX,Derived Data,Medium until duplicate review,Public commercial product identity only,Second reviewer for merges,ACTIVE_PHASE1
source,RAW,"Marketplace, destination channel, or direct source where the listing was observed",categorical,controlled short code,GYG;VIATOR;KLOOK;TIQETS;EXPEDIA;I_AMSTERDAM;DIRECT;OTHER,Required from capture,Manual capture,Standardize source code without changing provenance,Never blank,Must correspond to source_url,,,GYG,Observed Data,High,Use public pages under applicable terms,Source-code validity,ACTIVE_PHASE1
source_url,RAW,Public URL used for the observation,url,HTTPS URL,,Required from capture,Manual capture,Preserve exact URL; prefer product-detail page,Never blank unless page access failure is separately logged,Record exact public location and collection date,,,https://example.com/product,Observed Data,High when accessible,No URL shortening; respect platform terms,URL and source alignment,ACTIVE_PHASE1
collection_date,RAW,Calendar date on which the public observation was collected,date,YYYY-MM-DD,,Required from capture,Manual capture,ISO date only,Never blank,Ties time-sensitive facts to observation date,,,2026-08-23,Observed Data,High,No personal data,Date-format check,ACTIVE_PHASE1
observed_title,RAW,Listing title exactly as publicly displayed at collection,string,verbatim text,,Required from capture,Manual capture,Do not rewrite or normalize this field,Use NOT_DISPLAYED only if a title is genuinely absent,Preserve wording as evidence,Useful for duplicate candidates but never sufficient alone,,Anne Frank: Small-Group Walking Tour & Local Guide,Observed Data,High,Public commercial text,Verbatim check,ACTIVE_PHASE1
category,CLEAN,Primary mutually exclusive product category used for structured comparison,categorical,controlled vocabulary,Canal;Walking;Cycling;Food;Hybrid;Bundle;Self-guided;Performance;Pass/Attraction;Regional/Day trip;Other,Required after cleaning,Analyst classification,Apply taxonomy in collection protocol,UNKNOWN if insufficient evidence,Reference source fields supporting classification,,,Canal,Derived Data,Medium until review,No personal data,Taxonomy check,ACTIVE_PHASE1
subcategory,CLEAN,More specific product-form descriptor below primary category,string,controlled/free text,,Optional after cleaning,Analyst classification,Use concise observable product form,NOT_DISPLAYED if source does not permit classification,Reference supporting page text,,,live-hosted food/drink,Derived Data,Medium,No personal data,Consistency review,ACTIVE_PHASE1
competitor_type,ANALYTICAL,Whether the product competes directly for the defined visitor job or acts as a substitute,categorical,DIRECT/SUBSTITUTE/UNRESOLVED,DIRECT;SUBSTITUTE;UNRESOLVED,Required before analysis,Human review,"Classify from visitor job, not category similarity alone",UNRESOLVED when visitor-job overlap is unclear,Document visitor-job logic in map,,,DIRECT,Derived Data,Medium until review,No personal data,Human approval,ACTIVE_PHASE1
display_currency,RAW,Currency code displayed for the observed price,currency,ISO 4217 code or NOT_DISPLAYED,,Required when price shown,Manual capture,Use uppercase ISO code,NOT_DISPLAYED if no public price,Preserve alongside original price,,Never convert in this field,EUR,Observed Data,High,No personal data,Currency-format check,ACTIVE_PHASE1
