id,name,type,category,emirate,area,zone,zoneCode,maps,source,verified
"curated-sheikh-zayed-grand-mosque","Sheikh Zayed Grand Mosque","Attraction","Culture Site","Abu Dhabi","Grand Mosque District","Grand Mosque District","Z4","https://maps.google.com/?q=Sheikh%20Zayed%20Grand%20Mosque%20Abu%20Dhabi%20UAE","curated-seed","false"
"curated-louvre-abu-dhabi","Louvre Abu Dhabi","Museum","Museum","Abu Dhabi","Saadiyat Island","Saadiyat Island","Z1","https://maps.google.com/?q=Louvre%20Abu%20Dhabi%20Abu%20Dhabi%20UAE","curated-seed","false"
"curated-qasr-al-watan","Qasr Al Watan","Attraction","Culture Site","Abu Dhabi","Ras Al Akhdar","Ras Al Akhdar","Z4","https://maps.google.com/?q=Qasr%20Al%20Watan%20Abu%20Dhabi%20UAE","curated-seed","false"
"curated-qasr-al-hosn","Qasr Al Hosn","Museum","Culture Site","Abu Dhabi","Downtown Abu Dhabi","Downtown Abu Dhabi","Z4","https://maps.google.com/?q=Qasr%20Al%20Hosn%20Abu%20Dhabi%20UAE","curated-seed","false"
"curated-abu-dhabi-national-aquarium","Abu Dhabi National Aquarium","Attraction","Family Attraction","Abu Dhabi","Al Qana","Al Qana","Z4","https://maps.google.com/?q=Abu%20Dhabi%20National%20Aquarium%20Abu%20Dhabi%20UAE","curated-seed","false"
"curated-ferrari-world-abu-dhabi","Ferrari World Abu Dhabi","Attraction","Theme Park","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Ferrari%20World%20Abu%20Dhabi%20Abu%20Dhabi%20UAE","curated-seed","false"
"curated-warner-bros-world-abu-dhabi","Warner Bros World Abu Dhabi","Attraction","Theme Park","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Warner%20Bros%20World%20Abu%20Dhabi%20Abu%20Dhabi%20UAE","curated-seed","false"
"curated-yas-waterworld","Yas Waterworld","Attraction","Theme Park","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Yas%20Waterworld%20Abu%20Dhabi%20UAE","curated-seed","false"
"curated-seaworld-abu-dhabi","SeaWorld Abu Dhabi","Attraction","Theme Park","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=SeaWorld%20Abu%20Dhabi%20Abu%20Dhabi%20UAE","curated-seed","false"
"curated-yas-mall","Yas Mall","Mall","Mall","Abu Dhabi","Yas Island","Yas Island","Z1","https://maps.google.com/?q=Yas%20Mall%20Abu%20Dhabi%20UAE","curated-seed","false"
"curated-manarat-al-saadiyat","Manarat Al Saadiyat","Culture Site","Culture Site","Abu Dhabi","Saadiyat Island","Saadiyat Island","Z1","https://maps.google.com/?q=Manarat%20Al%20Saadiyat%20Abu%20Dhabi%20UAE","curated-seed","false"
"curated-al-ain-oasis","Al Ain Oasis","Attraction","Culture Site","Abu Dhabi","Al Ain","Al Ain","Z4","https://maps.google.com/?q=Al%20Ain%20Oasis%20Abu%20Dhabi%20UAE","curated-seed","false"
