duplicate_candidate_group,product_family_id,decision,evidence_basis,records_in_group,review_date,reviewer,remaining_action
DUP-10-TASTES-FOOD,PF-APD02-090,CONFIRMED_DISTINCT,Singleton candidate in the sampled dataset; no second sampled observation met the CP18 evidence threshold for a merge.,APD02-090,2026-08-23,OpenAI Phase 2D reconciliation pass,No merge action; remains subject to independent QA sampling.
DUP-ABIKE-25H,PF-APD02-089,CONFIRMED_DISTINCT,Singleton candidate in the sampled dataset; no second sampled observation met the CP18 evidence threshold for a merge.,APD02-089,2026-08-23,OpenAI Phase 2D reconciliation pass,No merge action; remains subject to independent QA sampling.
DUP-AMAZE-ENTRY,PF-AMAZE-ENTRY,CONFIRMED_SAME_FAMILY,Matching named attraction/operator and consistent core experience/location across sampled listings.,APD02-094;APD02-107,2026-08-23,OpenAI Phase 2D reconciliation pass,Independent second-review confirmation before Article 02 freeze.
DUP-AMSTERDAM-DUNGEON-ENTRY,PF-AMSTERDAM-DUNGEON-ENTRY,CONFIRMED_SAME_FAMILY,Matching named attraction/operator and consistent core experience/location across sampled listings.,APD02-095;APD02-102,2026-08-23,OpenAI Phase 2D reconciliation pass,Independent second-review confirmation before Article 02 freeze.
DUP-ANNE-FRANK-MOBILE,PF-APD02-081,CONFIRMED_DISTINCT,Singleton candidate in the sampled dataset; no second sampled observation met the CP18 evidence threshold for a merge.,APD02-081,2026-08-23,OpenAI Phase 2D reconciliation pass,No merge action; remains subject to independent QA sampling.
DUP-BLUEBOAT-CLASSIC,PF-APD02-045,CONFIRMED_DISTINCT,Singleton candidate in the sampled dataset; no second sampled observation met the CP18 evidence threshold for a merge.,APD02-045,2026-08-23,OpenAI Phase 2D reconciliation pass,No merge action; remains subject to independent QA sampling.
DUP-CHEESE-WINE-CANAL,PF-APD02-044;PF-APD02-052,CONFIRMED_DISTINCT,Different providers (Flagship Amsterdam vs Stromma Netherlands).,APD02-044;APD02-052,2026-08-23,OpenAI Phase 2D reconciliation pass,Independent second-review of this judgment only if selected in QA sample.
DUP-DEPIJP-FOOD,PF-APD02-067,CONFIRMED_DISTINCT,Singleton candidate in the sampled dataset; no second sampled observation met the CP18 evidence threshold for a merge.,APD02-067,2026-08-23,OpenAI Phase 2D reconciliation pass,No merge action; remains subject to independent QA sampling.
DUP-DEPIJP-SELF-FOOD,PF-APD02-068,CONFIRMED_DISTINCT,Singleton candidate in the sampled dataset; no second sampled observation met the CP18 evidence threshold for a merge.,APD02-068,2026-08-23,OpenAI Phase 2D reconciliation pass,No merge action; remains subject to independent QA sampling.
DUP-DRINKS-CANAL,PF-APD02-027;PF-APD02-031,CONFIRMED_DISTINCT,Different Viator product codes/suppliers (Starboard Boats vs KINboat).,APD02-027;APD02-031,2026-08-23,OpenAI Phase 2D reconciliation pass,Independent second-review of this judgment only if selected in QA sample.
