review_id,journey_stage,control_question,evidence_class,current_evidence,verification_method,claim_rule,owner,status
A09-01,Discovery,"Can users understand the walking effort duration terrain language and limitations?",PROPOSED_REVIEW,"Copy not yet built","Plain-language and assisted-user review","Do not publish vague accessible claim",Product Owner,FIELD_VALIDATION_REQUIRED
A09-02,Digital booking,"Can the booking path be completed with keyboard zoom labels and clear errors?",PROPOSED_REVIEW,"Booking flow not yet built","WCAG-oriented manual and automated test","Accessible design required regardless of EAA threshold",Digital Owner,BUILD_REQUIRED
A09-03,Adjustment request,"Can a guest request assistance without disclosing unnecessary diagnosis?",PROPOSED_REVIEW,"Process not yet built","Form and privacy review","Ask functional need not medical history",Accessibility Owner,BUILD_REQUIRED
A09-04,Meeting point,"Is the location identifiable reachable and free from ambiguous cycle or traffic conflict?",HYPOTHESIS,"Map review only","Accompanied field audit at operating time","No step-free claim until verified",Operations Lead,FIELD_VALIDATION_REQUIRED
A09-05,Surfaces and kerbs,"Are paving kerbs gradients and temporary plates manageable on every approved variant?",HYPOTHESIS,"No accompanied audit","Wheelchair and mobility-aid field review","Describe verified barriers precisely",Accessibility Owner,FIELD_VALIDATION_REQUIRED
A09-06,Crossings,"Are crossing times islands tram tracks and cycle flows safely manageable?",HYPOTHESIS,"Desk research only","Timed field observations","Guide must hold group and switch unsafe crossings",Lead Guide,FIELD_VALIDATION_REQUIRED
A09-07,Pace and rest,"Can the route provide predictable rest without obstruction?",HYPOTHESIS,"Candidate stops only","Field timing with diverse users","Publish realistic pace and rest availability",Accessibility Owner,FIELD_VALIDATION_REQUIRED
A09-08,Accessible toilets,"Is a reliable accessible toilet available during operating hours?",HYPOTHESIS,"Candidate facilities unverified","Direct facility confirmation and field check","Never promise availability from map data alone",Operations Lead,FIELD_VALIDATION_REQUIRED
A09-09,Audio and communication,"Can guests hear understand and request clarification without amplification?",PROPOSED_REVIEW,"Guide method not tested","Pilot with hearing and language feedback","Offer concise written recap where useful",Lead Guide,PILOT_REQUIRED
A09-10,Visual information,"Are meeting instructions route changes and emergency messages available beyond visual-only cues?",PROPOSED_REVIEW,"Templates not built","Content and assisted-user test","Use text plus verbal confirmation",Digital Owner,BUILD_REQUIRED
A09-11,Recovery,"Can a guest safely shorten leave or rejoin using accessible transport options?",HYPOTHESIS,"Recovery points not field-tested","Field audit and live transit check","Publish limits and assistance route",Operations Lead,FIELD_VALIDATION_REQUIRED
A09-12,Service recovery,"Are failed adjustments acknowledged remedied and used for improvement?",PROPOSED_REVIEW,"No pilot cases","Request complaint and CAPA log","No blame; record outcome and corrective action",Service Quality Lead,PILOT_REQUIRED
