product_family,visitor_job,mode,live_guide,audio_or_digital,small_or_private,food_or_drink,attraction_or_pass,multiple_languages,observed_pilot_examples,confidence,status
PF-AMAZE-ENTRY | Amsterdam: AMAZE Immersive Light & Sound Experience,Spend visitor time on a substitute entertainment/cultural experience,Attraction/performance,No,No,Unknown,No,Yes,Unknown,2,High,PHASE2E_FROZEN
PF-AMSTERDAM-DUNGEON-ENTRY | The Amsterdam Dungeon Admission Ticket,Spend visitor time on a substitute entertainment/cultural experience,Attraction/performance,No,No,Unknown,No,Yes,Yes,2,High,PHASE2E_FROZEN
PF-APD02-025 | Amsterdam: Dutch Countryside E-Bike or Bike Tour With Cheese & Clogs,Use Amsterdam as a base for regional discovery,Coach/bike/mixed,Yes,No,Unknown,Yes,No,No,1,Medium,PHASE2E_FROZEN
PF-APD02-026 | Amsterdam Canal Cruise with Local Guide and Small Group,See Amsterdam from the water,Boat,Yes,No,Yes,Yes,No,Yes,1,Medium,PHASE2E_FROZEN
PF-APD02-027 | Amsterdam: Sightseeing Canal Cruise With Drinks Upgrades,See Amsterdam from the water,Boat,No,No,Unknown,Yes,No,Unknown,1,Medium,PHASE2E_FROZEN
PF-APD02-028 | Jordaan Food Tour with Dutch Tastings in Amsterdam,Experience Amsterdam through food,Walking/food,Yes,No,Unknown,Yes,No,No,1,Medium,PHASE2E_FROZEN
"PF-APD02-029 | Amsterdam Cheese, Windmill & Countryside Bike Tour / E-bike Option",Use Amsterdam as a base for regional discovery,Coach/bike/mixed,Yes,No,Unknown,Yes,No,No,1,Medium,PHASE2E_FROZEN
PF-APD02-030 | Amsterdam Small-Group Walking Food Tour With 10 Tastings,Experience Amsterdam through food,Walking/food,Yes,No,Unknown,Yes,No,No,1,Medium,PHASE2E_FROZEN
PF-APD02-031 | Amsterdam Canal Cruise in Open Boat with Unlimited Drinks Option,See Amsterdam from the water,Boat,No,No,Unknown,Yes,No,Yes,1,Medium,PHASE2E_FROZEN
PF-APD02-032 | Guided Bike Tour of Amsterdam Highlights & Hidden Gems,Cover Amsterdam efficiently by bike,Cycling,Yes,No,Yes,No,No,No,1,Medium,PHASE2E_FROZEN
PF-APD02-034 | Amsterdam Small-Group or Private Bike Tour With Dutch Snack,Cover Amsterdam efficiently by bike,Cycling,Yes,No,Unknown,No,No,Unknown,1,Medium,PHASE2E_FROZEN
