product_family,visitor_job,competitor_class,time_budget,budget_basis,overlap_reason,classification_limit,confidence,status
PF-AMAZE-ENTRY | Amsterdam: AMAZE Immersive Light & Sound Experience,Spend visitor time on a substitute entertainment/cultural experience,SUBSTITUTE,60 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-AMSTERDAM-DUNGEON-ENTRY | The Amsterdam Dungeon Admission Ticket,Spend visitor time on a substitute entertainment/cultural experience,SUBSTITUTE,120 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-025 | Amsterdam: Dutch Countryside E-Bike or Bike Tour With Cheese & Clogs,Use Amsterdam as a base for regional discovery,DIRECT,240 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-026 | Amsterdam Canal Cruise with Local Guide and Small Group,See Amsterdam from the water,DIRECT,60 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-027 | Amsterdam: Sightseeing Canal Cruise With Drinks Upgrades,See Amsterdam from the water,DIRECT,60 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-028 | Jordaan Food Tour with Dutch Tastings in Amsterdam,Experience Amsterdam through food,DIRECT,180 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
"PF-APD02-029 | Amsterdam Cheese, Windmill & Countryside Bike Tour / E-bike Option",Use Amsterdam as a base for regional discovery,DIRECT,180 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-030 | Amsterdam Small-Group Walking Food Tour With 10 Tastings,Experience Amsterdam through food,DIRECT,180 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-031 | Amsterdam Canal Cruise in Open Boat with Unlimited Drinks Option,See Amsterdam from the water,DIRECT,60 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-032 | Guided Bike Tour of Amsterdam Highlights & Hidden Gems,Cover Amsterdam efficiently by bike,DIRECT,180 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-034 | Amsterdam Small-Group or Private Bike Tour With Dutch Snack,Cover Amsterdam efficiently by bike,DIRECT,120 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-035 | STRAAT Museum Ticket in Amsterdam with Canal Cruise,Combine attraction/tour components in one purchase,SUBSTITUTE,165 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-036 | Stedelijk Museum Ticket and Lovers Canal Cruise,Combine attraction/tour components in one purchase,SUBSTITUTE,NOT_OBSERVED,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-037 | Van Gogh Museum + 1-Hour Canal Cruise,Combine attraction/tour components in one purchase,SUBSTITUTE,60 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
"PF-APD02-038 | Keukenhof, Zaanse Schans & Volendam Tour from Amsterdam",Use Amsterdam as a base for regional discovery,DIRECT,630 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
PF-APD02-039 | Moco Museum Ticket and Amsterdam Canal Cruise Experience,Combine attraction/tour components in one purchase,SUBSTITUTE,75 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
"PF-APD02-040 | Volendam, Marken, Edam & Zaanse Schans Windmills Tour from Amsterdam",Use Amsterdam as a base for regional discovery,DIRECT,450 minutes,Price excluded/not comparable,Competes for visitor time/budget within the Article 02 Amsterdam discovery scope.,Supply-side classification only; does not prove demand or opportunity.,High,PHASE2E_FROZEN
